Rodovia;SRE;Latitude (g);Longitude (g);Tipo;Km
001;001EBA0020;-13.03995681;-38.68193562;M;15.000
504;504EBA0040;-12.18838697;-38.26146778;M;93.000
504;504EBA0040;-12.19080382;-38.25252782;M;94.000
504;504EBA0040;-12.19321103;-38.24360085;M;95.000
504;504EBA0040;-12.19562802;-38.23468834;M;96.000
504;504EBA0040;-12.20250684;-38.22920281;M;97.000
504;504EBA0040;-12.20489846;-38.22039900;M;98.000
504;504EBA0040;-12.20669978;-38.21134071;M;99.000
504;504EBA0040;-12.21114556;-38.20361810;ER;100.000
504;504EBA0050;-12.36553244;-38.11406417;ER;119.000
505;505EBA0020;-12.26545060;-38.03870505;IT;49.930
505;505EBA0020;-12.26585184;-38.03876337;FTU;49.975
505;505EBA0020;-12.26584089;-38.03913966;M;50.000
505;505EBA0020;-12.27034279;-38.04705429;M;51.000
505;505EBA0020;-12.27531837;-38.05330552;M;52.000
505;505EBA0020;-12.28219876;-38.05889901;M;53.000
505;505EBA0020;-12.28888724;-38.06463457;M;54.000
505;505EBA0020;-12.29638296;-38.06948729;M;55.000
505;505EBA0020;-12.30505584;-38.07208303;M;56.000
852;852EBA0005;-12.90004050;-41.77969275;M;9.000
852;852EBA0005;-12.90044099;-41.77968101;FT;9.043
853;853EBA0005;-12.13543787;-40.35835352;IT;0.000
853;853EBA0005;-12.14502693;-40.35711570;M;1.000
853;853EBA0005;-12.15357867;-40.35494792;M;2.000
853;853EBA0005;-12.16240784;-40.35387621;M;3.000
853;853EBA0005;-12.16775061;-40.34667739;M;4.000
853;853EBA0005;-12.17219076;-40.33874523;M;5.000
853;853EBA0005;-12.17760352;-40.33136518;M;6.000
853;853EBA0005;-12.18395551;-40.32523269;M;7.000
853;853EBA0005;-12.19233881;-40.32300818;M;8.000
853;853EBA0005;-12.20087167;-40.32156367;M;9.000
853;853EBA0005;-12.20937920;-40.31904047;M;10.000
853;853EBA0005;-12.21835327;-40.31805866;M;11.000
853;853EBA0005;-12.22301071;-40.31695547;FT;11.537
854;854EBA0005;-12.14191560;-40.25473091;IT;0.000
854;854EBA0005;-12.14917622;-40.25959954;M;1.000
854;854EBA0005;-12.15775419;-40.26231402;M;2.000
854;854EBA0005;-12.16594991;-40.26587990;M;3.000
854;854EBA0005;-12.17355779;-40.27075986;M;4.000
854;854EBA0005;-12.18117154;-40.27559783;M;5.000
854;854EBA0005;-12.18811384;-40.28128982;M;6.000
854;854EBA0005;-12.19451697;-40.28762893;M;7.000
854;854EBA0005;-12.20190086;-40.29276954;M;8.000
854;854EBA0005;-12.20730169;-40.29256139;FT;8.604
856;856EBA0005;-12.25274191;-41.16561413;IT;0.000
856;856EBA0005;-12.24771494;-41.17245595;M;1.000
856;856EBA0005;-12.23971779;-41.17653637;M;2.000
856;856EBA0005;-12.23399771;-41.18354898;M;3.000
856;856EBA0005;-12.22867030;-41.19088343;M;4.000
856;856EBA0005;-12.22159122;-41.19559969;M;5.000
489;489BBA0010;-17.04918349;-39.52329924;M;49.000
489;489BBA0010;-17.04516437;-39.52686580;M;50.000
489;489BBA0010;-17.03704525;-39.52927754;M;51.000
489;489BBA0010;-17.03032115;-39.53388831;M;52.000
489;489BBA0010;-17.02636194;-39.54017447;FT;52.842
Ac. Caravelas;BA.000/997;-17.74256408;-39.24271734;IT;0.000
Ac. Caravelas;BA.000/997;-17.73992405;-39.25171720;M;1.000
Ac. Caravelas;BA.000/997;-17.73766196;-39.25942421;FT;1.855
Ac. São Braz ;BA.001/878;-12.59238496;-38.72844124;IT;0.000
Ac. São Braz ;BA.001/878;-12.60141230;-38.72891368;M;1.000
Ac. São Braz ;BA.001/878;-12.60691187;-38.72723450;FT;1.663
Ac. Piritiba;BA.006/421;-11.73141393;-40.56185539;IT;0.000
Ac. Piritiba;BA.006/421;-11.73576864;-40.55061912;FT;1.897
Ac. São F.Conde;BA. 007/522;-12.61183727;-38.65474512;IT;0.000

